; Kepler light curve for kplr005110407.
; Quarter 02
; CBVs have been removed.
; Column 1:  Time from the Kepler .fits files (MBJD)
; Column 2:  Normalized flux with CBVs removed
; Column 3:  Errors on the original SAP data
    176.3249397       2109.5018       2.3115880
    176.3453740       2114.3667       2.3121822
    176.3658083       2114.9017       2.3123679
    176.3862424       2117.6655       2.3127515
    176.4066766       2123.3919       2.3135581
    176.4271109       2126.0670       2.3138442
    176.4475450       2128.5902       2.3140674
    176.4679792       2127.6783       2.3141391
    176.4884135       2133.1712       2.3148084
    176.5088476       2131.1866       2.3146751
    176.5292818       2133.9840       2.3147655
    176.5497160       2135.9730       2.3152156
    176.5701503       2138.9519       2.3155649
    176.5905844       2142.5727       2.3161969
    176.6110186       2143.4261       2.3161893
    176.6314529       2150.8787       2.3173270
    176.6518870       2147.0210       2.3167181
    176.6723212       2150.7251       2.3171759
    176.6927554       2152.0701       2.3173139
    176.7131896       2155.9441       2.3178849
    176.7336238       2156.7444       2.3179543
    176.7540580       2158.2688       2.3182657
    176.7744922       2155.2930       2.3178484
    176.7949264       2160.6557       2.3186810
    176.8153605       2161.3740       2.3186226
    176.8357946       2158.4325       2.3182843
    176.8562289       2162.9671       2.3189158
    176.8766631       2161.5917       2.3187184
    176.8970972       2165.3202       2.3191674
    176.9175315       2160.8547       2.3185978
    176.9379657       2163.0282       2.3188825
    176.9583998       2161.2405       2.3185296
    176.9788340       2164.6401       2.3190010
    176.9992683       2164.5388       2.3192601
    177.0197024       2165.7960       2.3194354
    177.0401366       2163.8591       2.3190067
    177.0605709       2164.2478       2.3191082
    177.0810051       2167.3833       2.3194017
    177.1014392       2166.4186       2.3193946
    177.1218734       2165.6732       2.3191433
    177.1423077       2164.9348       2.3192647
    177.1627418       2159.9844       2.3185365
    177.1831760       2163.6702       2.3191214
    177.2036102       2167.2311       2.3196304
    177.2240443       2163.8647       2.3191085
    177.2444785       2157.7257       2.3183157
    177.2649127       2163.8199       2.3191841
    177.2853469       2158.8574       2.3184266
    177.3057811       2155.5330       2.3180318
    177.3262153       2157.5904       2.3182614
    177.3466496       2154.6802       2.3179317
    177.3670837       2152.5898       2.3175611
    177.3875179       2152.1255       2.3174794
    177.4079520       2149.6638       2.3172274
    177.4283862       2148.1973       2.3171709
    177.4488204       2143.2910       2.3163781
    177.4692545       2146.4195       2.3168037
    177.4896888       2147.9949       2.3167872
    177.5101230       2145.4315       2.3165631
    177.5305572       2137.7724       2.3153982
    177.5509913       2135.4174       2.3151386
    177.5714256       2136.0712       2.3152127
    177.5918598       2130.2555       2.3143220
    177.6122938       2126.6593       2.3139031
    177.6327281       2124.1644       2.3136733
    177.6531623       2121.9390       2.3132932
    177.6735964       2115.5249       2.3124177
    177.6940306       2120.0317       2.3129945
    177.7144649       2112.7165       2.3121085
    177.7553331       2105.5352       2.3110108
    177.7757674       2105.9933       2.3109083
    177.7962016       2101.4305       2.3104994
    177.8166357       2098.9635       2.3102164
    177.8370699       2094.8491       2.3095450
    177.8575042       2089.7773       2.3089406
    177.8779383       2087.6341       2.3087063
    177.8983724       2087.6362       2.3085208
    177.9188067       2081.1962       2.3076456
    177.9392408       2079.7872       2.3074405
    177.9801092       2073.2855       2.3067558
    178.0005433       2071.3027       2.3063962
    178.0209775       2068.4041       2.3058736
    178.0414117       2060.6007       2.3048263
    178.0618459       2061.9249       2.3050165
    178.0822801       2055.0621       2.3040285
    178.1027143       2055.1094       2.3039827
    178.1231483       2050.1181       2.3035345
    178.1435826       2050.9784       2.3036449
    178.1640168       2045.6839       2.3027861
    178.1844509       2042.6478       2.3024614
    178.2048852       2044.7459       2.3026628
    178.2253193       2040.0666       2.3020806
    178.2457534       2039.3915       2.3020124
    178.2661876       2041.2940       2.3022170
    178.2866219       2040.6083       2.3021839
    178.3070560       2034.0287       2.3012176
